symbol_key,symbol,company_name,sector,industry
360,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services
361,ABR,Arbor Realty Trust,Real Estate,REIT - Mortgage
362,ABSI,Absci Corporation,Healthcare,Biotechnology
363,ABT,Abbott Laboratories,Healthcare,Medical Devices
364,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology
365,ACA,"Arcosa, Inc.",Industrials,Engineering & Construction
366,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology
367,ACCD,"Accolade, Inc.",Healthcare,Health Information Services
368,ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies
369,ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services
370,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling
371,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities
372,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense
373,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores
374,ACIC,American Coastal Insurance Corp,Financial Services,Insurance - Property & Casualty
375,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure
376,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials
377,ACLX,"Arcellx, Inc.",Healthcare,Biotechnology
378,ACM,AECOM,Industrials,Engineering & Construction
379,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials
380,ACNB,ACNB Corporation,Financial Services,Banks - Regional
381,ACRE,Ares Commercial Real Estate Cor,Real Estate,REIT - Mortgage
382,ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology
383,ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty
384,ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies
385,ACU,Acme,Consumer Defensive,Household & Personal Products
386,ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships
387,ADBE,Adobe Inc.,Technology,Software - Application
388,ADC,Agree Realty Corporation,Real Estate,REIT - Retail
389,ADEA,Adeia Inc.,Technology,Software - Application
390,ADI,"Analog Devices, Inc.",Technology,Semiconductors
391,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
392,ADMA,ADMA Biologics Inc,Healthcare,Biotechnology
393,ADP,"Automatic Data Processing, Inc.",Technology,Software - Application
394,ADPT,Adaptive Biotechnologies Corpor,Healthcare,Biotechnology
395,ADSK,"Autodesk, Inc.",Technology,Software - Application
396,ADT,ADT Inc.,Industrials,Security & Protection Services
397,ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment
398,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities
399,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies
400,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology
401,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
402,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials
403,AEIS,"Advanced Energy Industries, Inc",Industrials,Electrical Equipment & Parts
404,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail
405,AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric
406,AES,The AES Corporation,Utilities,Utilities - Diversified
407,AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services
408,AEVA,"Aeva Technologies, Inc.",Technology,Software - Infrastructure
409,AEYE,"AudioEye, Inc.",Technology,Software - Application
410,AFCG,Advanced Flower Capital Inc.,Real Estate,REIT - Mortgage
411,AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty
412,AFL,AFLAC Incorporated,Financial Services,Insurance - Life
